epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.412,0.65378,0.51139,0.85914,0.894,0.91347,0.95778,0.71279,0.91936,1.12214,0.99882,0.00123566,0.00123566,0.00123566
43,119.159,0.64628,0.51244,0.87822,0.78855,0.81665,0.8347,0.63621,0.95293,1.24555,1.10222,0.00123094,0.00123094,0.00123094
44,121.903,0.66608,0.54373,0.88477,0.86603,0.90381,0.93972,0.74873,0.82746,0.95607,1.06046,0.00122622,0.00122622,0.00122622
45,124.648,0.62704,0.48586,0.8769,0.92896,0.95347,0.98977,0.78493,0.77423,0.64156,0.97573,0.00122151,0.00122151,0.00122151
46,127.449,0.65595,0.49732,0.87226,0.97422,0.97619,0.99409,0.79904,0.76337,0.58929,0.98267,0.00121679,0.00121679,0.00121679
47,130.282,0.6682,0.51132,0.87697,0.69258,0.52381,0.31124,0.22688,0.85826,6.2854,0.95983,0.00121208,0.00121208,0.00121208
48,133.302,0.6559,0.52181,0.87148,0.9126,0.93452,0.96753,0.78903,0.77243,2.11699,0.98284,0.00120736,0.00120736,0.00120736
49,136.101,0.64066,0.49788,0.85781,0.96638,0.88845,0.96194,0.76581,0.81659,1.14373,0.98377,0.00120265,0.00120265,0.00120265
50,138.984,0.6547,0.50496,0.85514,0.9568,0.93452,0.98309,0.75508,0.90156,0.68111,1.05968,0.00119793,0.00119793,0.00119793
51,141.862,0.66305,0.49655,0.86786,0.82683,0.91667,0.9458,0.61391,1.12876,0.87974,1.37067,0.00119322,0.00119322,0.00119322
52,144.722,0.62243,0.48301,0.85428,0.8158,0.91635,0.95091,0.61706,1.23243,1.15654,1.42206,0.0011885,0.0011885,0.0011885
53,147.625,0.61946,0.4875,0.84653,0.92392,0.97619,0.96058,0.74936,0.86298,1.20754,1.0504,0.00118378,0.00118378,0.00118378
54,150.552,0.6674,0.47894,0.8739,0.9389,0.81931,0.9696,0.82568,0.69582,0.87637,0.93403,0.00117907,0.00117907,0.00117907
55,153.426,0.65862,0.48572,0.87294,0.92835,0.95238,0.96017,0.79834,0.72646,1.69331,0.90902,0.00117435,0.00117435,0.00117435
56,156.368,0.63045,0.47439,0.87389,0.88375,0.90476,0.90336,0.69357,0.84948,0.88764,1.01354,0.00116964,0.00116964,0.00116964
57,159.16,0.63382,0.47394,0.85724,0.96206,1,0.995,0.82549,0.69677,0.58087,0.92898,0.00116492,0.00116492,0.00116492
58,161.984,0.61921,0.44381,0.85831,0.98658,0.92857,0.98171,0.82226,0.69754,0.52789,0.91813,0.00116021,0.00116021,0.00116021
59,164.85,0.61003,0.45721,0.88028,0.9596,0.92857,0.98662,0.80185,0.74677,0.63185,0.93641,0.00115549,0.00115549,0.00115549
60,167.693,0.60342,0.43825,0.8543,0.94706,0.90476,0.96218,0.76238,0.74103,0.64095,0.94446,0.00115077,0.00115077,0.00115077
61,170.647,0.60417,0.41388,0.86361,0.97053,0.95238,0.95602,0.79241,0.71779,0.64178,0.93513,0.00114606,0.00114606,0.00114606
62,173.779,0.61398,0.44955,0.85987,0.93075,0.95238,0.95999,0.77966,0.75379,0.6414,0.98313,0.00114134,0.00114134,0.00114134
63,176.587,0.58168,0.46575,0.8548,0.92568,0.95238,0.97607,0.77052,0.75012,0.63429,1.02764,0.00113663,0.00113663,0.00113663
64,179.64,0.62293,0.45292,0.88307,0.70029,0.83804,0.88543,0.69062,0.75934,1.3273,0.9961,0.00113191,0.00113191,0.00113191
65,182.564,0.60255,0.43602,0.85152,0.7089,0.69082,0.72285,0.50006,1.03535,1.33069,1.17957,0.0011272,0.0011272,0.0011272
66,185.542,0.58909,0.42515,0.8607,0.76834,0.80905,0.84833,0.60458,0.96148,1.06525,1.14627,0.00112248,0.00112248,0.00112248
67,188.547,0.59244,0.45365,0.87185,0.78456,0.85269,0.93272,0.72056,0.8519,0.89838,1.08038,0.00111776,0.00111776,0.00111776
68,191.555,0.6032,0.43481,0.8634,0.86968,0.88415,0.93195,0.71867,0.76371,0.9017,1.01131,0.00111305,0.00111305,0.00111305
69,194.662,0.57062,0.4196,0.84754,0.92626,0.90476,0.90274,0.70834,0.70116,0.74587,0.94533,0.00110833,0.00110833,0.00110833
70,197.741,0.57359,0.42098,0.85492,0.91422,0.97619,0.97952,0.77395,0.75168,0.56752,0.98401,0.00110362,0.00110362,0.00110362
71,200.522,0.6043,0.4271,0.84961,0.91382,0.92857,0.95754,0.76219,0.73933,0.62547,0.99631,0.0010989,0.0010989,0.0010989
72,203.321,0.58625,0.43469,0.85664,0.99552,0.9258,0.97878,0.80036,0.73156,0.55943,0.97946,0.00109419,0.00109419,0.00109419
73,206.21,0.62336,0.46416,0.87916,0.91103,0.85769,0.9566,0.77453,0.69866,0.76962,0.9899,0.00108947,0.00108947,0.00108947
74,209.254,0.58755,0.436,0.86993,0.99119,0.89748,0.97306,0.80265,0.71658,0.54183,0.94518,0.00108475,0.00108475,0.00108475
75,212.376,0.60858,0.46522,0.87859,0.95468,0.88323,0.97835,0.80964,0.71544,0.57929,0.96724,0.00108004,0.00108004,0.00108004
76,215.737,0.60324,0.46028,0.87377,0.94318,0.80463,0.87632,0.7333,0.70369,0.90026,1.01831,0.00107532,0.00107532,0.00107532
77,218.763,0.59784,0.45416,0.87194,0.90184,0.83333,0.86674,0.69924,0.8084,0.94599,1.09319,0.00107061,0.00107061,0.00107061
78,221.799,0.58688,0.41849,0.84776,0.91738,0.95238,0.9815,0.78903,0.74141,0.582,1.04529,0.00106589,0.00106589,0.00106589
79,224.788,0.56199,0.41206,0.84899,0.98009,0.88095,0.96904,0.75979,0.83273,0.66081,1.11466,0.00106118,0.00106118,0.00106118
