epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,248.646,0.57943,0.50834,0.87742,0.83077,0.92154,0.92527,0.79286,0.6789,0.64659,0.98365,0.0008647,0.0008647,0.0008647
43,254.402,0.59814,0.51891,0.88143,0.90332,0.87628,0.94458,0.80182,0.64136,0.61706,0.92942,0.0008614,0.0008614,0.0008614
44,260.194,0.59575,0.5118,0.88439,0.88188,0.90676,0.94501,0.7938,0.61302,0.606,0.92516,0.0008581,0.0008581,0.0008581
45,266.208,0.60307,0.51251,0.892,0.89258,0.90051,0.92867,0.78066,0.65526,0.57951,0.98121,0.0008548,0.0008548,0.0008548
46,272.039,0.61676,0.54367,0.90286,0.7756,0.81871,0.83961,0.69906,0.7083,0.81186,0.98809,0.0008515,0.0008515,0.0008515
47,277.786,0.58881,0.54858,0.88664,0.87098,0.88521,0.92922,0.79463,0.66445,0.59338,0.97168,0.0008482,0.0008482,0.0008482
48,283.504,0.56412,0.49386,0.872,0.83907,0.91818,0.94788,0.82337,0.62812,0.66059,0.97047,0.0008449,0.0008449,0.0008449
49,289.239,0.56579,0.47282,0.8786,0.8936,0.93048,0.95239,0.82286,0.62263,0.52297,0.91025,0.0008416,0.0008416,0.0008416
50,295.05,0.57566,0.50241,0.88008,0.86889,0.85189,0.91531,0.80566,0.61746,0.64125,0.92931,0.0008383,0.0008383,0.0008383
51,300.808,0.57064,0.49482,0.8807,0.75454,0.84772,0.85993,0.74212,0.62329,0.88232,0.9261,0.000835,0.000835,0.000835
52,306.534,0.55677,0.48445,0.87255,0.85627,0.84407,0.88281,0.76278,0.62483,0.66811,0.94083,0.0008317,0.0008317,0.0008317
53,312.226,0.56881,0.48666,0.8721,0.90569,0.86139,0.91803,0.78402,0.66933,0.59931,0.96683,0.0008284,0.0008284,0.0008284
54,317.983,0.54691,0.46154,0.8652,0.79903,0.86049,0.86653,0.75138,0.62717,0.96359,0.89974,0.0008251,0.0008251,0.0008251
55,323.719,0.58027,0.47729,0.88563,0.90734,0.90563,0.93793,0.80375,0.64186,0.5613,0.93158,0.0008218,0.0008218,0.0008218
56,329.475,0.5659,0.45763,0.88125,0.67965,0.70916,0.73282,0.57633,0.87624,1.22445,1.05639,0.0008185,0.0008185,0.0008185
57,335.168,0.57134,0.45051,0.88027,0.66816,0.78769,0.8141,0.70395,0.67765,1.23997,0.95256,0.0008152,0.0008152,0.0008152
58,340.854,0.55489,0.46069,0.85852,0.72178,0.72652,0.8149,0.67691,0.73868,1.23193,1.01797,0.0008119,0.0008119,0.0008119
59,346.581,0.55749,0.45371,0.8693,0.81388,0.87437,0.88335,0.77081,0.60989,0.67568,0.9191,0.0008086,0.0008086,0.0008086
60,352.405,0.57092,0.48166,0.86788,0.87824,0.90486,0.94294,0.80753,0.6279,0.58924,0.91275,0.0008053,0.0008053,0.0008053
61,358.109,0.5607,0.46453,0.87318,0.89705,0.87559,0.91061,0.80115,0.56765,0.5828,0.87806,0.000802,0.000802,0.000802
62,363.803,0.56092,0.45663,0.8764,0.84381,0.81199,0.87993,0.76602,0.64504,0.69703,0.93046,0.0007987,0.0007987,0.0007987
63,369.5,0.5577,0.45615,0.87002,0.88141,0.86561,0.90708,0.78102,0.6489,0.60513,0.93335,0.0007954,0.0007954,0.0007954
64,375.191,0.53907,0.44253,0.87015,0.88254,0.86246,0.92366,0.79021,0.61149,0.70662,0.9294,0.0007921,0.0007921,0.0007921
65,380.886,0.53723,0.43529,0.86415,0.83799,0.89792,0.89988,0.78989,0.63474,0.65621,0.92891,0.0007888,0.0007888,0.0007888
66,386.603,0.54478,0.44701,0.86018,0.83793,0.82843,0.87558,0.76159,0.63921,0.67783,0.97222,0.0007855,0.0007855,0.0007855
67,392.415,0.54764,0.43396,0.87608,0.91837,0.88865,0.91561,0.79331,0.61265,0.54676,0.93868,0.0007822,0.0007822,0.0007822
68,398.214,0.51643,0.41731,0.85146,0.88914,0.90912,0.94483,0.80437,0.62559,0.54105,0.90853,0.0007789,0.0007789,0.0007789
69,403.95,0.52844,0.41988,0.85984,0.90062,0.94092,0.95546,0.84067,0.54162,0.44526,0.88533,0.0007756,0.0007756,0.0007756
70,409.682,0.54069,0.42312,0.86066,0.9053,0.915,0.94166,0.84,0.55804,0.50212,0.92583,0.0007723,0.0007723,0.0007723
71,415.394,0.52106,0.41733,0.86109,0.87738,0.9256,0.95256,0.84811,0.56134,0.44543,0.91297,0.000769,0.000769,0.000769
72,421.132,0.53487,0.42706,0.86192,0.90715,0.9141,0.96408,0.84173,0.58595,0.4894,0.9112,0.0007657,0.0007657,0.0007657
73,426.907,0.5226,0.4212,0.85116,0.91032,0.87234,0.93683,0.82438,0.60455,0.54087,0.90758,0.0007624,0.0007624,0.0007624
74,432.679,0.53685,0.40366,0.87379,0.81522,0.93677,0.92994,0.81039,0.59148,0.57603,0.90839,0.0007591,0.0007591,0.0007591
75,438.51,0.5311,0.44278,0.86086,0.89447,0.85084,0.90517,0.78239,0.59711,0.6102,0.91042,0.0007558,0.0007558,0.0007558
76,444.227,0.51338,0.40345,0.85689,0.87406,0.90594,0.93225,0.79101,0.62565,0.56591,0.92345,0.0007525,0.0007525,0.0007525
77,450.085,0.55344,0.44157,0.8676,0.87716,0.91846,0.90678,0.78503,0.57909,0.56105,0.91831,0.0007492,0.0007492,0.0007492
78,455.875,0.53575,0.41786,0.86556,0.87992,0.82552,0.8916,0.76947,0.5944,0.59685,0.88989,0.0007459,0.0007459,0.0007459
79,461.63,0.53249,0.42355,0.8679,0.90131,0.90775,0.92458,0.83666,0.5509,0.55065,0.88536,0.0007426,0.0007426,0.0007426
80,467.366,0.52018,0.39998,0.86731,0.8957,0.88515,0.93122,0.81105,0.55306,0.55917,0.90065,0.0007393,0.0007393,0.0007393
81,473.061,0.50668,0.42227,0.85725,0.82652,0.94304,0.95441,0.82334,0.62319,0.5035,0.92461,0.000736,0.000736,0.000736
82,478.75,0.51596,0.406,0.85137,0.91449,0.91043,0.95173,0.81061,0.59339,0.5115,0.92189,0.0007327,0.0007327,0.0007327
83,484.455,0.50356,0.39554,0.84447,0.84611,0.84899,0.95156,0.83179,0.57983,0.55959,0.9244,0.0007294,0.0007294,0.0007294
84,490.268,0.51849,0.39261,0.86689,0.9149,0.92313,0.94198,0.82615,0.53538,0.45533,0.89978,0.0007261,0.0007261,0.0007261
85,496.09,0.497,0.3829,0.87007,0.88408,0.8904,0.90939,0.79224,0.58255,0.57227,0.89248,0.0007228,0.0007228,0.0007228
86,501.917,0.50435,0.39084,0.85804,0.91058,0.913,0.92858,0.82,0.56034,0.49104,0.90148,0.0007195,0.0007195,0.0007195
87,507.618,0.50613,0.39711,0.86015,0.88825,0.94172,0.93137,0.80666,0.56158,0.47883,0.90202,0.0007162,0.0007162,0.0007162
88,513.346,0.50848,0.3936,0.85755,0.74557,0.93165,0.92518,0.79538,0.58108,0.62088,0.91772,0.0007129,0.0007129,0.0007129
89,519.363,0.51635,0.38837,0.85109,0.89838,0.92177,0.93708,0.83202,0.58208,0.50555,0.8989,0.0007096,0.0007096,0.0007096
90,525.253,0.49185,0.39015,0.8511,0.80979,0.84284,0.84912,0.72346,0.63514,0.84115,0.94723,0.0007063,0.0007063,0.0007063
91,530.993,0.49771,0.3805,0.84406,0.9331,0.91947,0.92769,0.79377,0.59457,0.47302,0.91117,0.000703,0.000703,0.000703
92,536.702,0.5066,0.38014,0.86105,0.90572,0.92102,0.95342,0.83794,0.56407,0.45167,0.88587,0.0006997,0.0006997,0.0006997
93,542.423,0.51063,0.40877,0.85929,0.92812,0.91269,0.92418,0.8148,0.55802,0.48632,0.90397,0.0006964,0.0006964,0.0006964
94,548.15,0.49061,0.37617,0.84866,0.92919,0.92182,0.96177,0.85088,0.53918,0.41771,0.89494,0.0006931,0.0006931,0.0006931
95,553.916,0.47693,0.36046,0.84322,0.9129,0.931,0.92471,0.82353,0.53155,0.45865,0.88781,0.0006898,0.0006898,0.0006898
96,559.712,0.48565,0.38919,0.84784,0.91741,0.93727,0.95671,0.85085,0.55624,0.40321,0.90233,0.0006865,0.0006865,0.0006865
97,565.485,0.47972,0.37859,0.84546,0.91953,0.91273,0.94208,0.83487,0.54786,0.43119,0.89134,0.0006832,0.0006832,0.0006832
98,571.264,0.48717,0.39127,0.85871,0.91279,0.87266,0.94273,0.8405,0.53785,0.49691,0.88741,0.0006799,0.0006799,0.0006799
99,576.993,0.48912,0.37634,0.85086,0.89185,0.93678,0.94633,0.83034,0.57012,0.44875,0.87646,0.0006766,0.0006766,0.0006766
100,582.7,0.47769,0.3723,0.84876,0.9035,0.93257,0.94954,0.84313,0.57628,0.47897,0.89607,0.0006733,0.0006733,0.0006733
101,588.418,0.48545,0.37793,0.85254,0.84091,0.96384,0.94443,0.84361,0.57013,0.47029,0.91825,0.00067,0.00067,0.00067
102,594.121,0.47687,0.36631,0.83601,0.82755,0.95114,0.96562,0.84151,0.56564,0.51905,0.90687,0.0006667,0.0006667,0.0006667
103,599.91,0.4946,0.36241,0.84667,0.89392,0.90092,0.96748,0.86542,0.53451,0.48968,0.88143,0.0006634,0.0006634,0.0006634
104,605.706,0.47679,0.33987,0.85091,0.9087,0.93497,0.97511,0.86453,0.54536,0.4403,0.89639,0.0006601,0.0006601,0.0006601
105,611.473,0.49929,0.37735,0.85306,0.86086,0.94587,0.96802,0.84975,0.56291,0.46803,0.89334,0.0006568,0.0006568,0.0006568
106,617.201,0.51058,0.39124,0.8647,0.91907,0.94636,0.97246,0.86016,0.56613,0.42184,0.88874,0.0006535,0.0006535,0.0006535
107,623.056,0.47923,0.3576,0.8387,0.95223,0.94065,0.98228,0.8613,0.56131,0.39352,0.89384,0.0006502,0.0006502,0.0006502
108,628.841,0.47894,0.37514,0.83773,0.90561,0.92797,0.9721,0.85906,0.55055,0.4663,0.88047,0.0006469,0.0006469,0.0006469
