epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6548,1.35604,6.96794,1.17402,0.22409,0.17435,0.18172,0.12691,0.94887,6.42945,1.06339,2.5e-05,2.5e-05,2.5e-05
2,7.04179,1.53938,7.032,1.25077,0.19919,0.17369,0.17875,0.12368,0.94758,6.48803,1.0617,6.22938e-05,6.22938e-05,6.22938e-05
3,9.35986,1.36686,6.95672,1.16372,0.20811,0.18689,0.18307,0.12184,0.94406,6.50425,1.05923,9.934e-05,9.934e-05,9.934e-05
4,11.685,1.26019,6.49915,1.15344,0.23652,0.30952,0.26072,0.16939,0.99986,6.70274,1.1401,0.000136139,0.000136139,0.000136139
5,14.193,0.97656,3.57042,1.02758,0.49991,0.62099,0.55219,0.47358,0.6599,3.71586,0.88208,0.00017269,0.00017269,0.00017269
6,16.7175,0.81625,2.51641,0.93361,0.53394,0.79064,0.63735,0.54583,0.67552,3.28779,0.86621,0.000208994,0.000208994,0.000208994
7,19.2716,0.81116,2.12066,0.92579,0.7407,0.62124,0.65978,0.55524,0.75879,3.001,0.94879,0.00024505,0.00024505,0.00024505
8,21.7307,0.75849,1.90092,0.92676,0.49438,0.67965,0.55855,0.47034,0.79486,3.29232,0.96692,0.000280859,0.000280859,0.000280859
9,24.1455,0.75393,1.54039,0.91768,0.41292,0.57526,0.47064,0.4054,0.69745,7.61035,0.8936,0.00031642,0.00031642,0.00031642
10,26.5461,0.72241,1.29852,0.9022,0.43215,0.56494,0.47333,0.40401,0.71147,13.581,0.91266,0.000351734,0.000351734,0.000351734
11,28.9573,0.72633,1.1676,0.89774,0.505,0.67299,0.48283,0.40886,0.85814,18.9309,1.02502,0.0003868,0.0003868,0.0003868
12,31.379,0.64745,0.94738,0.86728,0.42914,0.67532,0.43249,0.35352,0.86287,11.489,1.03101,0.000421619,0.000421619,0.000421619
13,33.8293,0.70045,0.98461,0.88959,0.45322,0.69225,0.45866,0.37332,0.85889,14.0087,0.99914,0.00045619,0.00045619,0.00045619
14,36.2657,0.69337,0.9059,0.87087,0.44954,0.7013,0.45743,0.37678,0.84273,14.936,0.99893,0.000490514,0.000490514,0.000490514
15,38.6661,0.69392,0.76392,0.87507,0.41718,0.72278,0.46747,0.38901,0.79136,7.57932,0.96733,0.00052459,0.00052459,0.00052459
16,41.1231,0.68173,0.85652,0.8918,0.7473,0.66088,0.70028,0.56336,0.7985,2.4712,0.99303,0.000558419,0.000558419,0.000558419
17,43.5401,0.68463,0.74398,0.8753,0.91498,0.65906,0.74191,0.60621,0.83843,1.25646,1.02146,0.000592,0.000592,0.000592
18,45.9681,0.707,0.72645,0.89095,0.94482,0.64459,0.73874,0.61463,0.78631,1.08686,0.93267,0.000625334,0.000625334,0.000625334
19,48.3552,0.70048,0.76566,0.87594,0.64148,0.62987,0.66217,0.52427,0.87863,1.20255,1.00424,0.00065842,0.00065842,0.00065842
20,50.746,0.69704,0.69985,0.8958,0.5822,0.6226,0.65058,0.51958,0.93723,2.08542,1.00815,0.000691259,0.000691259,0.000691259
21,53.0906,0.78464,0.7357,0.89506,0.80914,0.61611,0.66235,0.52603,0.88864,0.99193,0.98181,0.00072385,0.00072385,0.00072385
22,55.4426,0.72219,0.70758,0.8894,0.70216,0.58291,0.6856,0.529,0.90552,1.16415,1.01237,0.000756194,0.000756194,0.000756194
23,57.7795,0.72729,0.65929,0.89053,0.86487,0.38807,0.53486,0.43414,0.93954,1.71728,0.97018,0.00078829,0.00078829,0.00078829
24,60.0951,0.74229,0.70411,0.88554,0.8577,0.53884,0.61205,0.4879,0.93582,1.37381,1.02825,0.000820139,0.000820139,0.000820139
25,62.4468,0.69778,0.67594,0.89033,0.63198,0.59646,0.53843,0.41992,0.93727,1.62566,0.99236,0.00085174,0.00085174,0.00085174
26,64.8263,0.74755,0.64319,0.90992,0.73946,0.55535,0.64612,0.48066,0.95213,1.33356,1.05981,0.000883094,0.000883094,0.000883094
27,67.2121,0.73856,0.61852,0.90169,0.70599,0.47437,0.56963,0.41004,1.20762,1.57595,1.16444,0.0009142,0.0009142,0.0009142
28,69.5864,0.78147,0.67759,0.9213,0.73171,0.25729,0.2982,0.2089,1.62819,3.12557,1.39794,0.000945059,0.000945059,0.000945059
29,71.9617,0.7497,0.65348,0.90608,0.00146,0.02381,0.0008,0.00072,3.29357,5.6003,2.73977,0.00097567,0.00097567,0.00097567
30,74.353,0.74329,0.61876,0.87981,0.19306,0.18398,0.17406,0.14127,2.96557,5.84594,2.37139,0.00100603,0.00100603,0.00100603
31,76.7045,0.74252,0.62213,0.9072,0.65398,0.02381,0.00968,0.00565,3.28802,5.13012,2.84788,0.00103615,0.00103615,0.00103615
32,79.0404,0.66811,0.59157,0.8829,0.00066,0.21429,0.01347,0.00231,nan,nan,nan,0.00106602,0.00106602,0.00106602
33,81.4095,0.73949,0.64011,0.89323,0.00066,0.21429,0.01347,0.00231,5.60778,6.76182,6.16898,0.00109564,0.00109564,0.00109564
34,83.7934,0.76418,0.67372,0.93379,0.00066,0.21429,0.01347,0.00231,4.74021,7.93343,10.6597,0.00111388,0.00111388,0.00111388
35,86.1457,0.74007,0.64419,0.9165,0.00066,0.21429,0.01347,0.00231,3.94694,6.59267,3.43199,0.00110975,0.00110975,0.00110975
36,88.5043,0.76379,0.65996,0.94251,0.00066,0.21429,0.01347,0.00231,4.44784,532.615,7.43463,0.00110563,0.00110563,0.00110563
37,90.8654,0.70891,0.63612,0.90426,0.00066,0.21429,0.01347,0.00231,nan,nan,nan,0.0011015,0.0011015,0.0011015
38,93.2477,0.69737,0.6512,0.89677,0.00066,0.21429,0.01347,0.00231,nan,nan,nan,0.00109738,0.00109738,0.00109738
39,95.6131,0.72486,0.64771,0.92525,0.00066,0.21429,0.01347,0.00231,nan,nan,nan,0.00109325,0.00109325,0.00109325
40,97.9913,0.71926,0.57519,0.88669,0.00066,0.21429,0.01347,0.00231,3.22225,13.9739,2.57494,0.00108913,0.00108913,0.00108913
41,100.321,0.68095,0.55059,0.87875,0.0009,0.02381,0.00047,0.00038,2.484,6.69096,2.54491,0.001085,0.001085,0.001085
42,102.672,0.67641,0.54497,0.89117,0.04105,0.11688,0.08009,0.0687,2.79801,5.25206,2.50817,0.00108088,0.00108088,0.00108088
43,105.044,0.7396,0.66229,0.91818,0.60245,0.07143,0.068,0.03726,2.84616,4.9408,2.64904,0.00107675,0.00107675,0.00107675
44,107.397,0.69243,0.58391,0.90179,0.21716,0.18615,0.10947,0.0641,2.12644,5.14803,1.95102,0.00107263,0.00107263,0.00107263
45,109.769,0.7157,0.54656,0.89825,0.6181,0.67572,0.59462,0.40653,1.06189,2.00083,1.15684,0.0010685,0.0010685,0.0010685
46,112.144,0.66069,0.52231,0.86425,0.58991,0.74303,0.64204,0.50389,0.82751,3.83181,1.01972,0.00106437,0.00106437,0.00106437
47,114.55,0.65551,0.53665,0.87416,0.45429,0.65152,0.54361,0.4109,1.16121,4.43605,1.42805,0.00106025,0.00106025,0.00106025
48,116.969,0.68313,0.56876,0.88841,0.76906,0.35839,0.36158,0.29665,0.86501,9.43772,1.03997,0.00105612,0.00105612,0.00105612
