epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56608,1.64065,9.27883,1.18124,0.56362,0.27778,0.05917,0.03818,0.96514,8.51556,0.9956,3.334e-05,3.334e-05,3.334e-05
2,6.99777,1.5887,9.32664,1.17578,0.54641,0.27778,0.0563,0.03567,0.97167,8.6071,0.99472,8.30749e-05,8.30749e-05,8.30749e-05
3,9.40106,1.5663,9.57497,1.17346,0.57011,0.11111,0.05242,0.03177,0.98155,8.72677,0.99801,0.00013248,0.00013248,0.00013248
4,11.8282,1.46281,9.7778,1.16516,0.09033,0.33333,0.0881,0.06499,1.013,8.00091,0.98429,0.000181555,0.000181555,0.000181555
5,14.3442,1.04135,5.11418,0.94959,0.88352,0.79753,0.86428,0.66395,0.87177,4.29469,0.9149,0.000230299,0.000230299,0.000230299
6,16.861,0.85606,2.76407,0.89429,0.87039,0.81013,0.82203,0.69048,0.72973,3.50535,0.91661,0.000278714,0.000278714,0.000278714
7,19.3775,0.78521,2.25578,0.87214,0.81488,0.81727,0.75953,0.60762,0.79813,4.88687,0.90623,0.000326799,0.000326799,0.000326799
8,21.8347,0.75908,1.78124,0.87444,0.3852,0.68056,0.45522,0.35972,0.80936,11.1491,0.92743,0.000374553,0.000374553,0.000374553
9,24.2671,0.68937,1.28633,0.86399,0.42374,0.75,0.42155,0.31813,0.7927,54.2145,0.95285,0.000421978,0.000421978,0.000421978
10,26.7102,0.65705,1.07369,0.87179,0.50105,0.79262,0.46712,0.36471,0.8068,123.843,0.94879,0.000469072,0.000469072,0.000469072
11,29.1302,0.6545,0.99687,0.85188,0.45441,0.68727,0.45009,0.36049,0.82128,183.752,0.94647,0.000515836,0.000515836,0.000515836
12,31.5669,0.64426,0.77663,0.85752,0.45728,0.55517,0.47914,0.36358,1.07281,167.947,1.06009,0.000562271,0.000562271,0.000562271
13,33.9799,0.65832,0.76724,0.86718,0.50036,0.83333,0.49819,0.36398,1.01232,57.1093,0.98413,0.000608375,0.000608375,0.000608375
14,36.2978,0.63574,0.77444,0.84012,0.47029,0.64648,0.5024,0.37035,0.93759,6.16553,0.93933,0.000654149,0.000654149,0.000654149
15,38.6259,0.64498,0.79859,0.85115,0.8958,0.88889,0.85711,0.64105,0.84283,1.48413,0.96717,0.000699593,0.000699593,0.000699593
16,40.9613,0.66886,0.81804,0.85227,0.90139,0.87141,0.92569,0.72583,0.78657,1.19286,0.92679,0.000744707,0.000744707,0.000744707
